"","Name","Birthday","ContractDate","AgeAtSigning","ContractLength","AAV","SalaryCap","pctCap","TOI","Goals60","Assists60","Points60","PlusMinus60","PenaltyMinutes60","EvenStrGoals60","EvenStrPoints60","ppGoals60","ppPoints60","shGoals60","shPoints60","GameWinningGoals60","Shots60","COLA","fBracket","fRate","fMarginal","sBracket","sRate","sMarginal","Local","contractSeason","prevSeason","pyTOI","pyGoals60","pyAssists60","pyPoints60","pyPlusMinus60","pyPenaltyMinutes60","pyEvenStrGoals60","pyEvenStrPoints60","pyppGoals60","pyppPoints60","pyshGoals60","pyshPoints60","pyGameWinningGoals60","pyShots60","GoalsChange","AssistsChange","PointsChange","PlusMinusChange","PenaltyMinutesChange","EvenStrGoalsChange","EvenStrPointsChange","ppGoalsChange","ppPointsChange","shGoalsChange","shPointsChange","GameWinningGoalsChange","ShotsChange","TOIChange","fTaxes","sTaxes","lTaxes","Escrow","Agent","netIncome","LANI","Country.Austria","Country.Belarus","Country.Belgium","Country.Canada","Country.Czech Republic","Country.Denmark","Country.Estonia","Country.Finland","Country.France","Country.Germany","Country.Italy","Country.Kazakhstan","Country.Latvia","Country.Netherlands","Country.Norway","Country.Russia","Country.Slovakia","Country.Slovenia","Country.Sweden","Country.Switzerland","Country.Ukraine","Country.United Kingdom","Country.United States","Team.ANA","Team.ARI","Team.ATL","Team.BOS","Team.BUF","Team.CAR","Team.CBJ","Team.CGY","Team.CHI","Team.COL","Team.DAL","Team.DET","Team.EDM","Team.FLA","Team.LAK","Team.MIN","Team.MTL","Team.NJD","Team.NSH","Team.NYI","Team.NYR","Team.OTT","Team.PHI","Team.PHX","Team.PIT","Team.SJS","Team.STL","Team.TBL","Team.TOR","Team.VAN","Team.VGK","Team.WPG","Team.WSH","Handed.L","Handed.R","Position.C","Position.L","Position.R"
"712","Colin Wilson",1989-10-20,2019-07-01,29,1,2600000,79500000,0.0327044025157233,881.833333333333,0.816480816480816,1.02060102060102,1.83708183708184,-0.408240408240408,0.544320544320544,0.476280476280476,1.36080136080136,0.34020034020034,0.476280476280476,0,0,0.136080136080136,7.07616707616708,0.9,622050,0.37,167307.5,0,0.0463,0,0,2019,2018,735.466666666667,0.489485134155185,0.97897026831037,1.46845540246555,-0.407904278462654,0.489485134155185,0.407904278462654,0.97897026831037,0.0815808556925308,0.489485134155185,0,0,0.0815808556925308,6.11856417693981,0.668040068040068,0.0425250425250426,0.251030051030051,0.000824040824040858,0.112026712026712,0.167628047628048,0.39003339003339,3.17010017010017,-0.0269766269766269,0,0,0.668040068040068,0.15650778050778,0.199011965192168,899149,120380,0,351000,104000,1125471,1250523.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"719","Derick Brassard",1987-09-22,2019-08-21,31,1,1200000,79500000,0.0150943396226415,1050,0.8,0.514285714285714,1.31428571428571,-1.08571428571429,2.22857142857143,0.685714285714286,1.02857142857143,0.114285714285714,0.285714285714286,0,0,0,6.28571428571429,0.9,622050,0.37,167307.5,0,0.0463,0,0,2019,2018,1276.8,0.986842105263158,1.17481203007519,2.16165413533835,0,1.59774436090226,0.75187969924812,1.8796992481203,0.234962406015038,0.281954887218045,0,0,0.140977443609023,9.25751879699248,-0.189333333333333,-0.56224,-0.392,0,0.394823529411765,-0.0879999999999998,-0.4528,-0.5136,0.0133333333333336,0,0,-1,-0.321015228426396,-0.177631578947369,381149,55560,0,162000,48000,553291,614767.777777778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"721","Gabriel Bourque",1990-09-23,2019-08-26,28,1,700000,79500000,0.00880503144654088,535.333333333333,0.224159402241594,0.672478206724782,0.896637608966376,0.336239103362391,1.12079701120797,0.224159402241594,0.784557907845579,0,0,0,0.112079701120797,0.112079701120797,3.8107098381071,0.9,622050,0.37,167307.5,0,0.0463,0,0,2019,2018,632.2,0.474533375514078,0.569440050616893,1.04397342613097,-0.569440050616893,1.13888010123379,0.474533375514078,1.04397342613097,0,0,0,0,0.0949066751028156,4.17589370452388,-0.527621419676214,0.180946450809465,-0.141129853956753,-1.59047322540473,-0.0158779576587796,-0.527621419676214,-0.248488622212159,0,0,0,0,0.180946450809465,-0.0874504698290501,-0.153221554360435,196149,32410,0,94500,28000,348941,387712.222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"728","Mattias Janmark",1992-12-08,2019-06-06,26,1,2300000,79500000,0.0289308176100629,1232.55,0.292077400511135,0.924911768285262,1.2169891687964,-0.194718267007424,1.16830960204454,0.292077400511135,1.11963003529269,0,0.0486795667518559,0,0.0486795667518559,0,5.11135450894487,0.58,622050,0.37,167307.5,0,0,0,0,2019,2018,1371.6,0.831146106736658,0.656167979002625,1.48731408573928,-0.568678915135608,1.0498687664042,0.568678915135608,1.18110236220472,0.174978127734033,0.218722659667542,0.0874890638670166,0.0874890638670166,0.174978127734033,5.94925634295713,-0.648584769700813,0.40956553486674,-0.181753752979834,-0.657595416631561,0.112814895947426,-0.486393124947342,-0.0520465701188593,-1,-0.777437020810515,-1,-0.443592552026287,-1,-0.140841440628825,-0.101377952755905,788149,0,0,310500,92000,1109351,1912674.13793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"739","Mats Zuccarello",1987-09-01,2019-07-01,31,5,6000000,79500000,0.0754716981132075,952.8,0.755667506297229,1.7632241813602,2.51889168765743,-0.503778337531486,1.51133501259446,0.566750629722922,1.57430730478589,0.188916876574307,0.944584382871537,0,0,0.0629722921914358,6.54911838790932,0.58,622050,0.37,167307.5,0,0,0,0,2019,2018,1513.33333333333,0.634361233480176,1.46696035242291,2.10132158590308,-0.39647577092511,1.4273127753304,0.594713656387665,1.4273127753304,0.039647577092511,0.674008810572687,0,0,0.118942731277533,7.05726872246696,0.191225860621327,0.201957625131429,0.198717847166115,0.270640917996082,0.0588674316634013,-0.0470193115029387,0.10298690798271,3.76490344248531,0.401442188966267,0,0,-0.470566284168299,-0.0720038239354459,-0.370396475770925,2157149,0,0,810000,240000,2792851,4815260.34482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"746","Antoine Roussel",1989-11-21,2018-07-01,28,4,3000000,75000000,0.04,907.633333333333,0.330529949685997,0.793271879246392,1.12380182893239,0.0661059899371993,8.32935473208711,0.330529949685997,1.12380182893239,0,0,0,0,0,5.61900914466194,0.58,622050,0.37,167307.5,0,0,0,0,2018,2017,931,0.773361976369495,0.966702470461869,1.74006444683136,0.0644468313641246,7.41138560687433,0.773361976369495,1.54672395273899,0,0.193340494092374,0,0,0.193340494092374,5.28464017185822,-0.572606412281024,-0.179404311579566,-0.354160800780214,0.0257446105255427,0.123859312401899,-0.572606412281024,-0.273430900877741,0,-1,0,0,-1,0.0632718523740381,-0.0250984604368063,1047149,0,0,405000,120000,1427851,2461812.06896552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"747","Devin Shore",1994-07-19,2018-07-13,23,2,2300000,75000000,0.0306666666666667,1265.53333333333,0.52151925406943,0.995627666859822,1.51714692092925,-1.42232523837117,0.663751777906548,0.379286730232313,0.900805984301744,0.0948216825580783,0.52151925406943,0.0474108412790391,0.0948216825580783,0.0474108412790391,5.83153347732181,0.58,622050,0.37,167307.5,0,0,0,0,2018,2017,1158.93333333333,0.673032673722964,1.03543488265071,1.70846755637368,-0.207086976530143,0.724804417855499,0.621260929590428,1.39783709157846,0.0517717441325357,0.310630464795214,0,0,0,5.9537505752416,-0.225120451902309,-0.0384449244060474,-0.111983768571242,5.8682505399568,-0.0842332613390928,-0.389488840892729,-0.355571554275658,0.831533477321815,0.678905687544996,0,0,0,-0.020527749084421,0.0919811320754716,788149,0,0,310500,92000,1109351,1912674.13793103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"754","Radek Faksa",1994-01-09,2017-07-10,23,3,2200000,73000000,0.0301369863013699,1293.33333333333,0.556701030927835,0.974226804123711,1.53092783505155,-0.278350515463917,3.10824742268041,0.556701030927835,1.43814432989691,0,0.0927835051546392,0,0,0,6.12371134020618,0.58,622050,0.37,167307.5,0,0,0,0,2017,2016,555.75,0.539811066126856,0.755735492577598,1.29554655870445,0.97165991902834,1.72739541160594,0.539811066126856,1.18758434547908,0,0.107962213225371,0,0,0.107962213225371,7.23346828609986,0.0312886597938143,0.289110824742268,0.181684922680412,-1.28646907216495,0.799383859536082,0.0312886597938143,0.210982895970009,0,-0.140592783505155,0,0,-1,-0.153419756885675,1.32718548508022,751149,0,0,297000,88000,1063851,1834225.86206897,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"763","Jamie Benn",1989-07-18,2016-07-15,26,8,9500000,71400000,0.133053221288515,1641.36666666667,1.49875104079933,1.75463536483824,3.25338640563758,0.255884324038911,2.33951381978433,0.804207875550862,1.97396478544303,0.621433358380212,1.0966471030239,0.0731098068682602,0.18277451717065,0.18277451717065,9.02906114823013,0.58,622050,0.37,167307.5,0,0,0,0,2016,2015,1635.9,1.28369704749679,1.90720704199523,3.19090408949202,0.0366770584999083,2.34733174399413,0.843572345497891,2.16394645149459,0.366770584999083,0.843572345497891,0.0733541169998166,0.183385292499542,0.22006235099945,9.2792958004768,0.167527060782681,-0.079997438032409,0.0195813833299836,5.9766860949209,-0.00333055786844322,-0.0466640118741629,-0.0877940699134901,0.694338051623647,0.300003620171596,-0.00333055786844322,-0.00333055786844296,-0.169442131557036,-0.0269669873261083,0.00334168755221389,3452149,0,0,1282500,380000,4385351,7560950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"766","Brett Ritchie",1993-07-01,2019-07-01,25,1,1000000,79500000,0.0125786163522013,508.8,0.471698113207547,0.235849056603774,0.707547169811321,-0.825471698113208,6.72169811320755,0.35377358490566,0.589622641509434,0.117924528301887,0.117924528301887,0,0,0.235849056603774,6.72169811320755,0.58,622050,0.37,167307.5,0,0,0,0,2019,2018,769.166666666667,0.546045503791983,0.546045503791983,1.09209100758397,0.0780065005417118,3.2762730227519,0.390032502708559,0.85807150595883,0.156013001083424,0.234019501625135,0,0,0,9.12676056338028,-0.13615603474094,-0.56807801737047,-0.352117026055705,-11.5820885744235,1.05162941749027,-0.0929638364779872,-0.312851391271203,-0.244136530398323,-0.496091020265549,0,0,0,-0.263517645003494,-0.338504875406284,307149,0,0,135000,40000,517851,892846.551724138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"767","Jason Dickinson",1995-07-04,2019-07-11,23,2,1500000,79500000,0.0188679245283019,895.566666666667,0.401980124316075,1.0719469981762,1.47392712249228,0.602970186474113,1.54092380987829,0.401980124316075,1.47392712249228,0,0,0,0,0.133993374772025,6.29768861428518,0.58,622050,0.37,167307.5,0,0,0,0,2019,2018,230.4,0,0.520833333333333,0.520833333333333,-0.520833333333333,4.42708333333333,0,0.520833333333333,0,0,0,0,0,4.16666666666667,0,1.05813823649831,1.82994007518517,-2.1577027580303,-0.65193250412161,0,1.82994007518517,0,0,0,0,0,0.511445267428444,2.88700810185185,492149,0,0,202500,60000,745351,1285087.93103448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"774","Tyler Seguin",1992-01-31,2018-09-13,27,8,9850000,75000000,0.131333333333333,1715.16666666667,1.39928092508017,1.32931687882616,2.72859780390633,0.41978427752405,1.50422699446118,0.874550578175104,1.78408317947721,0.489748323778059,0.874550578175104,0.0349820231270042,0.0699640462540084,0.209892138762025,11.7189777475464,0.58,622050,0.37,167307.5,0,0,0,0,2018,2017,1514.26666666667,1.03020163775645,1.82266443603064,2.85286607378709,-0.594347098705644,0.871709078101611,0.594347098705644,1.70379501628951,0.435854539050806,1.14907105749758,0,0,0.158492559654838,11.9265651140266,0.358259270609868,-0.270673826433397,-0.0435590969455512,-1.70629482071713,0.725606664252082,0.47144754316069,0.0471231353655144,0.123650851140891,-0.238906443192746,0,0,0.324302788844621,-0.0174054612116321,0.132671480144405,3581649,0,0,1329750,394000,4544601,7835518.96551724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"787","Jason Spezza",1983-06-13,2019-07-01,36,1,700000,79500000,0.00880503144654088,1008.26666666667,0.476064533192277,1.13065326633166,1.60671779952394,-0.77360486643745,1.725733932822,0.357048399894208,0.89262099973552,0.119016133298069,0.714096799788416,0,0,0.0595080666490346,7.20047606453319,0.58,622050,0.37,167307.5,0,0,0,0,2019,2018,1014,0.473372781065089,1.06508875739645,1.53846153846154,-0.710059171597633,0.710059171597633,0.236686390532544,0.887573964497041,0.236686390532544,0.650887573964497,0,0,0.177514792899408,8.16568047337278,0.00568632636868542,0.0615577889447234,0.044366569690558,0.0894935202327426,1.43040862205766,0.508529489553028,0.00568632636868552,-0.497156836815657,0.0971123560385659,0,0,-0.664771224543771,-0.118202568908616,-0.00565417488494402,196149,0,0,94500,28000,381351,657501.724137931,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"812","Cody Eakin",1991-05-24,2015-08-28,24,4,3850000,69000000,0.0557971014492754,1341.6,0.849731663685152,0.9391771019678,1.78890876565295,-0.0447227191413238,1.16279069767442,0.670840787119857,1.47584973166369,0.0894454382826476,0.178890876565295,0.0894454382826476,0.134168157423971,0.268336314847943,6.35062611806798,0.58,622050,0.37,167307.5,0,0,0,0,2015,2014,1404,0.683760683760684,0.811965811965812,1.4957264957265,-0.384615384615385,1.53846153846154,0.512820512820513,1.1965811965812,0.128205128205128,0.256410256410256,0.0427350427350427,0.0427350427350427,0.0854700854700855,6.88034188034188,0.242732558139535,0.156670746634027,0.196013289036545,-0.883720930232558,-0.244186046511628,0.308139534883721,0.233388704318937,-0.302325581395349,-0.302325581395349,1.09302325581395,2.13953488372093,2.13953488372093,-0.0769897443304926,-0.0444444444444445,1361649,0,0,519750,154000,1814601,3128622.4137931,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"825","Tyler Bertuzzi",1995-02-24,2018-06-25,23,2,1400000,75000000,0.0186666666666667,691.2,0.607638888888889,1.47569444444444,2.08333333333333,-0.607638888888889,3.38541666666667,0.520833333333333,1.90972222222222,0.0868055555555556,0.173611111111111,0,0,0.0868055555555556,7.20486111111111,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2018,2017,63.7,0,0,0,-0.941915227629514,0,0,0,0,0,0,0,0,2.82574568288854,0,0,0,-0.354890046296296,0,0,0,0,0,0,0,0,1.54972029320988,9.85086342229199,455149,59500,33600,189000,56000,606751,1319023.91304348,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"845","Andreas Athanasiou",1994-08-06,2018-07-05,23,2,3000000,75000000,0.04,1087.48333333333,0.882772149764747,0.937945409125044,1.82071755888979,-0.827598890404451,0.882772149764747,0.827598890404451,1.6551977808089,0.0551732593602967,0.16551977808089,0,0,0.110346518720593,9.37945409125044,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2018,2017,861.866666666667,1.25309405940594,0.765779702970297,2.01887376237624,-0.487314356435644,1.94925742574257,1.18347772277228,1.74040841584158,0.0696163366336634,0.278465346534653,0,0,0.20884900990099,8.35396039603961,-0.295526027644528,0.224824065572583,-0.098151854355279,0.698285469071228,-0.547123874914339,-0.300705983323612,-0.0489601373201122,-0.207466781100093,-0.40560008582507,0,0,-0.471644520733396,0.122755393441534,0.261776763613861,1047149,127500,72000,405000,120000,1228351,2670328.26086956,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"848","Dylan Larkin",1996-07-30,2018-08-10,21,5,6100000,75000000,0.0813333333333333,1627.7,0.589789273207594,1.73250599004731,2.3222952632549,-0.331756466179271,2.24857160410395,0.47920378448117,1.91681513792468,0.0368618295754746,0.294894636603797,0.0737236591509492,0.110585488726424,0.147447318301898,8.55194446151011,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2018,2017,1292,0.789473684210526,0.696594427244582,1.48606811145511,-1.30030959752322,1.71826625386997,0.510835913312694,1.11455108359133,0.232198142414861,0.325077399380805,0.0464396284829721,0.0464396284829721,0.0464396284829721,8.26625386996904,-0.252933587270382,1.48710859904569,0.562711187565276,-0.744863479581179,0.308628158784822,-0.061922288561104,0.719809137637976,-0.841248387294956,-0.0928479273997489,0.587516127050439,1.38127419057566,2.17503225410088,0.0345610715609602,0.259829721362229,2194149,259250,146400,823500,244000,2432701,5288480.43478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"849","Luke Glendening",1989-04-28,2016-07-14,27,4,1800000,71400000,0.0252100840336134,1181.25,0.406349206349206,0.66031746031746,1.06666666666667,0.203174603174603,2.33650793650794,0.406349206349206,1.06666666666667,0,0,0,0,0.152380952380952,4.46984126984127,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2016,2015,1206.76666666667,0.596635637930558,0.298317818965279,0.894953456895837,0.248598182471066,1.69046764080325,0.546916001436345,0.845233820401624,0.0497196364942132,0.0497196364942132,0,0,0.0994392729884264,5.17084219539817,-0.318932392710171,1.21346972369195,0.191868312757202,-0.182718871252205,0.382166614794066,-0.257017155683822,0.261978213507625,-1,-1,0,0,0.532402116402116,-0.13556803690137,-0.0211446565201779,603149,76500,43200,243000,72000,762151,1656850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"864","Darren Helm",1987-01-21,2016-07-01,29,5,3850000,71400000,0.053921568627451,1160.13333333333,0.672336513044478,0.672336513044478,1.34467302608896,-0.103436386622227,1.65498218595564,0.672336513044478,1.34467302608896,0,0,0,0,0.155154579933341,8.53350189633376,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2016,2015,1187.5,0.757894736842105,0.909473684210526,1.66736842105263,0.353684210526316,0.606315789473684,0.505263157894737,1.21263157894737,0.151578947368421,0.353684210526316,0.101052631578947,0.101052631578947,0.0505263157894737,8.08421052631579,-0.112889323066314,-0.260741102555262,-0.193535748242104,-1.2924540693188,1.72957131364211,0.330666015400529,0.108888346167107,-1,-1,-1,-1,2.07076772784737,0.055576406447535,-0.0230456140350878,1361649,163625,92400,519750,154000,1558576,3388208.69565217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"875","Anthony Mantha",1994-09-16,2018-07-11,23,2,3300000,75000000,0.044,1384,1.04046242774566,1.04046242774566,2.08092485549133,-0.0433526011560694,2.25433526011561,0.65028901734104,1.5606936416185,0.390173410404624,0.520231213872832,0,0,0.0867052023121387,8.23699421965318,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2018,2017,954,1.06918238993711,1.19496855345912,2.26415094339623,0.628930817610063,3.33333333333333,1.0062893081761,2.07547169811321,0.0628930817610063,0.188679245283019,0,0,0.188679245283019,8.36477987421384,-0.0268616116967019,-0.129297231518102,-0.0809248554913295,-1.06893063583815,-0.323699421965318,-0.353775289017341,-0.248029427220179,5.20375722543353,1.75722543352601,0,0,-0.540462427745665,-0.0152766308835673,0.450733752620545,1158149,140250,79200,445500,132000,1344901,2923697.82608696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"883","Tomas Tatar",1990-12-01,2017-07-21,26,4,5300000,73000000,0.0726027397260274,1417.23333333333,1.05840016934403,0.889056142248983,1.94745631159301,-0.338688054190089,1.10073617611779,0.846720135475222,1.60876825740292,0.211680033868805,0.338688054190089,0,0,0.211680033868805,7.02777712444434,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2017,2016,1162.35,1.0840108401084,1.23886953155246,2.32288037166086,0.206478255258743,1.23886953155246,0.722673893405601,1.54858691444057,0.3613369467028,0.774293457220287,0,0,0.154858691444057,8.51722802942315,-0.0236258437801354,-0.282364995178399,-0.161620057859209,-2.64030858244937,-0.111499517839923,0.171648987463838,0.0388621022179362,-0.414175506268081,-0.562584378013501,0,0,0.366923818707811,-0.174875076707285,0.219282774838331,1898149,225250,127200,715500,212000,2121901,4612828.26086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"893","Justin Abdelkader",1987-02-25,2015-11-12,28,7,4250000,69000000,0.0615942028985507,1272.08333333333,1.08483458892892,0.990501146413364,2.07533573534229,0.141500163773338,3.3960039305601,0.707500818866688,1.41500163773338,0.377333770062234,0.660334097608909,0,0,0.235833606288896,7.263675073698,0.46,622050,0.37,167307.5,0,0.0425,0,0.024,2015,2014,1069.83333333333,0.560835021031313,1.00950303785636,1.57033805888768,0.112167004206263,1.73858856519707,0.504751518928182,1.40208755257828,0.0560835021031313,0.168250506309394,0,0,0.168250506309394,8.24427480916031,0.934320340648542,-0.0188230156130582,0.321585325908942,0.261513265640354,0.953310862926999,0.40168140626706,0.0092106125122828,5.72807075008189,2.92470793754777,0,0,0.40168140626706,-0.118943116060706,0.189048138339305,1509649,180625,102000,573750,170000,1713976,3726034.7826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"903","Zack Kassian",1991-01-24,2017-06-26,26,3,1950000,73000000,0.0267123287671233,971.7,0.43223217042297,1.04970669959864,1.48193887002161,0.246989811670269,6.23649274467428,0.43223217042297,1.48193887002161,0,0,0,0,0,6.79221982093239,0.47,214368,0.33,49644.31,314928,0.15,37791.36,0,2017,2016,448.2,0.401606425702811,0.669344042838019,1.07095046854083,-0.937081659973226,15.2610441767068,0.401606425702811,1.07095046854083,0,0,0,0,0,5.62248995983936,0.0762581043531954,0.56826180920037,0.38376041988268,-1.26357341331099,-0.591345606993712,0.0762581043531954,0.38376041988268,0,0,0,0,0,0.208044811008689,1.16800535475234,622402.87,283052.16,0,263250,78000,703294.97,1496372.27659574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"905","Ryan Strome",1993-07-11,2018-07-06,24,2,3100000,75000000,0.0413333333333333,1247.76666666667,0.625116875484198,1.00980418347447,1.63492105895867,-0.192343653995138,1.58683514545989,0.528945048486629,1.29831966446718,0.096171826997569,0.288515480992707,0,0.0480859134987845,0.144257740496353,7.06862928432132,0.47,214368,0.33,49644.31,314928,0.15,37791.36,0,2018,2017,1007.4,0.774270399047052,1.01250744490768,1.78677784395473,-0.476474091721263,2.38237045860631,0.655151876116736,1.31030375223347,0.119118522930316,0.476474091721263,0,0,0.119118522930316,6.78975580702799,-0.192637512355408,-0.00266986820373971,-0.0849891806694627,-0.596318756177704,-0.333925947693212,-0.192637512355408,-0.00914603789072837,-0.192637512355408,-0.394478134266556,0,0,0.211043731466887,0.0410726814364471,0.238601019125141,1001902.87,455552.16,0,418500,124000,1100044.97,2340521.21276596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
