PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
369. Timothy Liljegren,TOR,20,"Apr 30, 1999",Sweden,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 12, 2017",18,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,263,333","$925,000","$832,500","$70,000","$92,500","$400,000"
370. Jaccob Slavin,CAR,25,"May 1, 1994",United States,D,Left,,,,45,4,18,22,0.49,26,95,0.04,22:34,-,-,-,-,-,Standard (1-way),✔,"Jul 12, 2017",24,✔,,,7,RFA,UFA,2025,"$5,300,000",7.10%,"$5,300,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
371. Rūdolfs Balcers,OTT,22,"Apr 8, 1997",Latvia,"RW, LW",Left,,✓,,5,0,1,1,0.2,0,6,0,10:31,-,-,-,-,-,Entry-Level,,"Jul 13, 2017",20,,,,3,ELC,RFA,2020,"$759,167",1.00%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
372. Mason Appleton,WPG,23,"Jan 15, 1996",United States,"RW, C",Right,,✓,,20,1,1,2,0.1,-3,19,0.05,10:03,-,-,-,-,-,Entry-Level,,"Jul 13, 2017",21,,,,3,ELC,RFA,2020,"$741,667",1.00%,"$758,333","$775,000","$700,000","$70,000","$75,000",$0
373. Lias Andersson,NYR,20,"Oct 13, 1998",Sweden,"C, LW",Left,,✓,,17,0,1,1,0.06,-8,13,0,9:32,-,-,-,-,-,Entry-Level,,"Jul 13, 2017",18,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,744,166","$925,000","$832,500","$70,000","$92,500","$850,000"
374. Josef Korenar,SJS,21,"Jan 31, 1998",Czech Republic,G,Left,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Jul 13, 2017",19,,,,3,ELC,RFA,2021,"$723,333",1.00%,"$723,333","$760,000","$700,000","$60,000","$60,000",$0
375. Filip Chytil,NYR,19,"Sep 5, 1999",Czech Republic,"LW, C",Left,,✓,,35,11,5,16,0.46,4,72,0.15,15:22,-,-,-,-,-,Entry-Level,,"Jul 14, 2017",17,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,244,166","$925,000","$832,500","$70,000","$92,500","$350,000"
376. Ondrej Palat,TBL,28,"Mar 28, 1991",Czech Republic,"RW, LW",Left,,,,43,12,14,26,0.6,16,92,0.13,16:30,-,-,-,-,-,Standard (1-way),,"Jul 14, 2017",26,✔,✔,NTC,5,RFA,UFA,2022,"$5,300,000",7.10%,"$5,300,000","$5,300,000","$5,300,000","$5,300,000",$0,$0
377. Martin Necas,CAR,20,"Jan 15, 1999",Czech Republic,"C, RW",Right,,✓,,41,10,15,25,0.61,0,56,0.18,14:00,-,-,-,-,-,Entry-Level,,"Jul 14, 2017",18,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,400,833","$925,000","$832,500","$70,000","$92,500","$537,500"
378. Nico Hischier,NJD,20,"Jan 4, 1999",Switzerland,C,Left,,,,39,12,16,28,0.72,-6,86,0.14,17:54,-,-,-,-,-,Entry-Level,,"Jul 15, 2017",18,,,,3,ELC,RFA,2020,"$925,000",1.20%,"$3,775,000","$925,000","$832,500","$70,000","$92,500","$2,850,000"
379. Erik Brännström,OTT,19,"Sep 2, 1999",Sweden,D,Left,,✓,,31,0,4,4,0.13,-9,38,0,14:50,-,-,-,-,-,Entry-Level,,"Jul 15, 2017",17,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,313,333","$925,000","$832,500","$70,000","$92,500","$450,000"
380. Nick Suzuki,MTL,19,"Aug 10, 1999",Canada,"C, RW",Right,,✓,,46,9,18,27,0.59,-6,78,0.12,15:31,-,-,-,-,-,Entry-Level,,"Jul 15, 2017",17,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,325,833","$925,000","$832,500","$70,000","$92,500","$425,000"
381. Cody Glass,VGK,20,"Apr 1, 1999",Canada,C,Right,,✓,,37,5,7,12,0.32,-7,49,0.1,13:25,-,-,-,-,-,Entry-Level,,"Jul 15, 2017",18,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,713,333","$925,000","$832,500","$70,000","$92,500","$850,000"
382. Nolan Patrick,PHI,20,"Sep 19, 1998",Canada,"C, RW",Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 17, 2017",18,,,,3,ELC,RFA,2020,"$925,000",1.20%,"$3,575,000","$925,000","$832,500","$70,000","$92,500","$2,650,000"
383. Jean-Gabriel Pageau,OTT,26,"Nov 11, 1992",Canada,C,Right,,,,45,19,11,30,0.67,14,103,0.18,19:04,-,-,-,-,-,Standard (1-way),,"Jul 17, 2017",24,✔,✔,,3,RFA,UFA,2020,"$3,100,000",4.10%,"$3,100,000","$3,400,000","$3,400,000","$3,400,000",$0,$0
384. Frédérick Gaudreau,NSH,26,"May 1, 1993",Canada,C,Right,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),,"Jul 17, 2017",24,✔,,,3,RFA,UFA,2020,"$666,666",0.90%,"$666,666","$700,000","$700,000","$700,000",$0,$0
385. Alexandar Georgiev,NYR,23,"Feb 10, 1996",Russia,G,Left,,,,20,-,-,-,-,-,-,-,-,10,9,2,3.17,0.909,Entry-Level,,"Jul 17, 2017",21,,,,3,ELC,RFA,2020,"$792,500",1.10%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
386. Owen Tippett,FLA,20,"Feb 16, 1999",Canada,RW,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 19, 2017",18,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,596,667","$925,000","$832,500","$70,000","$92,500","$500,000"
387. Colton Parayko,STL,26,"May 12, 1993",Canada,D,Right,,,,42,2,11,13,0.31,3,93,0.02,22:49,-,-,-,-,-,Standard (1-way),,"Jul 20, 2017",24,✔,✔,,5,RFA,UFA,2022,"$5,500,000",7.30%,"$5,500,000","$5,525,000","$5,525,000","$5,525,000",$0,$0
388. Tomas Tatar,MTL,28,"Dec 1, 1990",Slovakia,"LW, RW",Left,,,,46,16,23,39,0.85,-5,111,0.14,16:26,-,-,-,-,-,Standard (1-way),,"Jul 21, 2017",26,✔,✔,,4,RFA,UFA,2021,"$5,300,000",7.10%,"$5,300,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
389. Juuso Välimäki,CGY,20,"Oct 6, 1998",Finland,D,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Jul 21, 2017",18,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,319,166","$925,000","$832,500","$70,000","$92,500","$425,000"
390. Viktor Arvidsson,NSH,26,"Apr 8, 1993",Sweden,"RW, LW",Right,,,,31,10,9,19,0.61,2,71,0.14,17:01,-,-,-,-,-,Standard (1-way),,"Jul 22, 2017",24,✔,✔,,7,RFA,UFA,2024,"$4,250,000",5.70%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
391. Austin Watson,NSH,27,"Jan 13, 1992",United States,"RW, LW",Right,,,,40,6,7,13,0.33,-2,43,0.14,11:59,-,-,-,-,-,Standard (1-way),,"Jul 24, 2017",25,✔,✔,,3,RFA,UFA,2020,"$1,100,000",1.50%,"$1,100,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
392. Adam Pelech,NYI,24,"Aug 16, 1994",Canada,D,Left,,,✔,38,1,8,9,0.24,4,49,0.02,21:07,-,-,-,-,-,Standard (1-way),,"Jul 24, 2017",22,,,,4,RFA,RFA,2021,"$1,600,000",2.10%,"$1,600,000","$1,925,000","$1,925,000","$1,925,000",$0,$0
393. Brian Dumoulin,PIT,27,"Sep 6, 1991",United States,D,Left,,,,23,1,6,7,0.3,17,33,0.03,21:03,-,-,-,-,-,Standard (1-way),,"Jul 24, 2017",25,✔,✔,,6,RFA,UFA,2023,"$4,100,000",5.50%,"$4,100,000","$4,100,000","$4,100,000","$4,100,000",$0,$0
394. Mika Zibanejad,NYR,26,"Apr 18, 1993",Sweden,C,Right,,,,31,17,18,35,1.13,1,102,0.17,21:14,-,-,-,-,-,Standard (1-way),,"Jul 25, 2017",24,✔,✔,NMC,5,RFA,UFA,2022,"$5,350,000",7.10%,"$5,350,000","$5,350,000","$5,350,000","$5,350,000",$0,$0
395. Ryan Johansen,NSH,26,"Jul 31, 1992",Canada,"C, RW",Right,,,,43,9,17,26,0.6,-2,64,0.14,17:53,-,-,-,-,-,Standard (1-way),,"Jul 28, 2017",24,✔,,,8,RFA,UFA,2025,"$8,000,000",10.70%,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
396. Conor Sheary,BUF,27,"Jun 8, 1992",United States,"LW, RW",Left,,,,38,7,7,14,0.37,1,66,0.11,13:13,-,-,-,-,-,Standard (1-way),,"Jul 30, 2017",25,✔,✔,,3,RFA,UFA,2020,"$3,000,000",4.00%,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
397. Nino Niederreiter,CAR,26,"Sep 8, 1992",Switzerland,"LW, RW",Left,,,,45,6,15,21,0.47,-5,77,0.08,15:09,-,-,-,-,-,Standard (1-way),,"Jul 30, 2017",24,✔,✔,,5,RFA,UFA,2022,"$5,250,000",7.00%,"$5,250,000","$5,850,000","$5,850,000","$5,850,000",$0,$0
398. Mikael Granlund,NSH,27,"Feb 26, 1992",Finland,"C, RW",Left,,,,37,7,8,15,0.41,-1,79,0.09,16:48,-,-,-,-,-,Standard (1-way),,"Aug 1, 2017",25,✔,✔,,3,RFA,UFA,2020,"$5,750,000",7.70%,"$5,750,000","$6,500,000","$6,500,000","$6,500,000",$0,$0
399. Brett Pesce,CAR,24,"Nov 15, 1994",United States,D,Right,,,,45,4,11,15,0.33,8,81,0.05,21:45,-,-,-,-,-,Standard (1-way),✔,"Aug 1, 2017",22,,,,6,RFA,UFA,2024,"$4,025,000",5.40%,"$4,025,000","$4,025,000","$4,025,000","$4,025,000",$0,$0
400. Morgan Frost,PHI,20,"May 14, 1999",Canada,C,Left,,✓,,18,2,5,7,0.39,-4,31,0.06,13:45,-,-,-,-,-,Entry-Level,,"Aug 3, 2017",18,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$863,333","$925,000","$832,500","$70,000","$92,500",$0
401. Isaac Ratcliffe,PHI,20,"Feb 15, 1999",Canada,LW,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Aug 3, 2017",18,,,,3,ELC,RFA,2022,"$780,833",1.10%,"$863,333","$817,500","$725,000","$70,000","$92,500","$107,500"
402. Michael Rasmussen,DET,20,"Apr 17, 1999",Canada,"LW, C, RW",Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Aug 5, 2017",18,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,710,833","$925,000","$832,500","$70,000","$92,500","$850,000"
403. Kailer Yamamoto,EDM,20,"Sep 29, 1998",United States,"RW, C",Right,,✓,,6,2,3,5,0.83,5,9,0.22,15:28,-,-,-,-,-,Entry-Level,,"Aug 10, 2017",18,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,124,166","$925,000","$832,500","$70,000","$92,500","$230,000"
404. Leon Draisaitl,EDM,23,"Oct 27, 1995",Germany,"C, LW, RW",Left,,,,47,25,45,70,1.49,-15,137,0.18,22:30,-,-,-,-,-,Standard (1-way),,"Aug 16, 2017",21,,,,8,RFA,UFA,2025,"$8,500,000",11.30%,"$8,500,000","$9,000,000","$9,000,000","$9,000,000",$0,$0
405. Connor Brown,OTT,25,"Jan 14, 1994",Canada,"LW, RW",Right,,,✔,45,7,18,25,0.56,-3,104,0.07,20:05,-,-,-,-,-,Standard (1-way),,"Aug 26, 2017",23,,,,3,RFA,RFA,2020,"$2,100,000",2.80%,"$2,100,000","$2,100,000","$1,600,000","$2,100,000","$500,000",$0
406. Alexander Wennberg,CBJ,24,"Sep 22, 1994",Sweden,C,Left,,,,45,3,13,16,0.36,-4,56,0.05,16:43,-,-,-,-,-,Standard (1-way),,"Sep 1, 2017",22,,,,6,RFA,UFA,2023,"$4,900,000",6.50%,"$4,900,000","$5,350,000","$5,350,000","$5,350,000",$0,$0
407. Jacob Middleton,SJS,23,"Jan 2, 1996",Canada,D,Left,,✓,,4,0,0,0,0,0,2,0,7:48,-,-,-,-,-,Entry-Level,,"Sep 7, 2017",21,,,,3,ELC,RFA,2020,"$735,000",1.00%,"$735,000","$770,000","$700,000","$70,000","$70,000",$0
408. Dmitri Samorukov,EDM,20,"Jun 16, 1999",Russia,D,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 7, 2017",18,,,,3,ELC,RFA,2022,"$825,000",1.20%,"$863,333","$842,500","$750,000","$70,000","$92,500","$82,500"
409. Bo Horvat,VAN,24,"Apr 5, 1995",Canada,C,Left,,,,45,13,25,38,0.84,-5,117,0.11,20:08,-,-,-,-,-,Standard (1-way),,"Sep 8, 2017",22,,,,6,RFA,UFA,2023,"$5,500,000",7.30%,"$5,500,000","$5,775,000","$5,775,000","$5,775,000",$0,$0
410. Damon Severson,NJD,24,"Aug 7, 1994",Canada,D,Right,,,,44,5,10,15,0.34,-10,63,0.08,22:20,-,-,-,-,-,Standard (1-way),,"Sep 11, 2017",22,,,,6,RFA,UFA,2023,"$4,166,666",5.60%,"$4,166,666","$4,675,000","$4,675,000","$4,675,000",$0,$0
411. Alex D'Orio,PIT,20,"Apr 28, 1999",Canada,G,Right,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Sep 13, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$70,000","$50,000",$0
412. Marcus Foligno,MIN,27,"Aug 10, 1991",United States,"LW, RW",Left,,,,34,7,9,16,0.47,6,50,0.14,14:13,-,-,-,-,-,Standard (1-way),,"Sep 14, 2017",25,✔,,,4,RFA,UFA,2021,"$2,875,000",3.80%,"$2,875,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
413. David Pastrnak,BOS,23,"May 25, 1996",Czech Republic,RW,Right,,,,46,35,30,65,1.41,15,183,0.19,19:32,-,-,-,-,-,Standard (1-way),,"Sep 14, 2017",21,,,,6,RFA,UFA,2023,"$6,666,666",8.90%,"$6,666,666","$6,800,000","$6,800,000","$6,800,000",$0,$0
414. Bryan Little,WPG,31,"Nov 12, 1987",Canada,"C, RW",Right,,,,7,2,3,5,0.71,4,13,0.15,16:09,-,-,-,-,-,Standard (1-way),✔,"Sep 14, 2017",30,,,NMC,6,UFA,UFA,2024,"$5,291,666",7.10%,"$5,291,666","$6,500,000","$6,500,000","$6,500,000",$0,$0
415. Jordy Bellerive,PIT,20,"May 2, 1999",Canada,C,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 16, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$70,000","$50,000",$0
416. Mikko Koivu,MIN,36,"Mar 12, 1983",Finland,C,Left,,,,32,2,11,13,0.41,1,53,0.04,17:29,-,-,-,-,-,35+ (1-way),✔,"Sep 18, 2017",35,,,NMC,2,UFA,UFA,2020,"$5,500,000",7.30%,"$5,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
417. Déreck Baribeau,MIN,20,"Jan 22, 1999",Canada,G,Right,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Sep 18, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$70,000","$50,000",$0
418. Parker Kelly,OTT,20,"Jun 14, 1999",Canada,"C, LW",Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 19, 2017",18,,,,3,ELC,RFA,2022,"$726,667",1.00%,"$726,667","$730,000","$700,000","$55,000","$30,000",$0
419. Dylan Coghlan,VGK,21,"Feb 19, 1998",Canada,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 20, 2017",19,,,,3,ELC,RFA,2021,"$715,556",1.00%,"$715,556","$750,000","$700,000","$60,000","$50,000",$0
420. Kieffer Bellows,NYI,21,"Jun 10, 1998",United States,"C, LW",Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 22, 2017",19,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,106,666","$925,000","$832,500","$70,000","$92,500","$212,500"
421. Sam Miletic,PIT,22,"May 4, 1997",United States,"LW, C",Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 25, 2017",20,,,,3,ELC,RFA,2020,"$710,000",0.90%,"$710,000","$750,000","$700,000","$60,000","$50,000",$0
422. Luke Green,WPG,21,"Jan 12, 1998",Canada,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 25, 2017",19,,,,3,ELC,RFA,2021,"$733,333",1.00%,"$838,333","$792,500","$700,000","$70,000","$92,500","$182,500"
423. Jaret Anderson-Dolan,LAK,19,"Sep 12, 1999",Canada,C,Left,,✓,,1,0,0,0,0,0,0,0,10:27,-,-,-,-,-,Entry-Level,,"Sep 25, 2017",17,,,,3,ELC,RFA,2022,"$747,500",1.00%,"$913,333","$792,500","$700,000","$70,000","$92,500","$182,500"
424. Brennan Menell,MIN,22,"May 24, 1997",United States,D,Right,,✓,,5,0,0,0,0,1,4,0,13:59,-,-,-,-,-,Entry-Level,,"Sep 26, 2017",20,,,,3,ELC,RFA,2020,"$716,666",1.00%,"$716,666","$750,000","$700,000","$70,000","$50,000",$0
425. Jack Studnicka,BOS,20,"Feb 18, 1999",Canada,C,Right,,✓,,2,0,1,1,0.5,2,3,0,12:07,-,-,-,-,-,Entry-Level,,"Sep 26, 2017",18,,,,3,ELC,RFA,2022,"$769,167",1.10%,"$863,333","$807,500","$715,000","$70,000","$92,500","$117,500"
426. Robert Thomas,STL,19,"Jul 2, 1999",Canada,"RW, C",Right,,✓,,41,8,16,24,0.59,11,53,0.15,13:56,-,-,-,-,-,Entry-Level,,"Sep 28, 2017",17,,,,3,ELC,RFA,2021,"$894,166",1.20%,"$1,177,500","$925,000","$832,500","$70,000","$92,500","$425,000"
427. Dylan Ferguson,VGK,20,"Sep 20, 1998",Canada,G,Left,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Sep 28, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$60,000","$50,000",$0
428. Alexey Lipanov,TBL,19,"Aug 17, 1999",Russia,C,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Sep 28, 2017",17,,,,3,ELC,RFA,2022,"$747,500",1.10%,"$863,333","$792,500","$700,000","$70,000","$92,500","$132,500"
429. Craig Anderson,OTT,38,"May 21, 1981",United States,G,Left,,,,21,-,-,-,-,-,-,-,-,6,11,0,3.27,0.897,35+ (1-way),✔,"Sep 29, 2017",37,,,M-NTC,2,UFA,UFA,2020,"$4,750,000",6.30%,"$4,750,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
430. Nicolas Hague,VGK,20,"Dec 5, 1998",Canada,D,Left,,✓,,34,0,10,10,0.29,1,44,0,16:12,-,-,-,-,-,Entry-Level,,"Sep 29, 2017",18,,,,3,ELC,RFA,2022,"$791,667",1.10%,"$863,333","$792,500","$700,000","$70,000","$92,500","$132,500"
431. Brandon Crawley,NYR,22,"Feb 2, 1997",United States,D,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 2, 2017",20,,,,3,ELC,RFA,2020,"$770,000",1.00%,"$866,666","$810,000","$725,000","$70,000","$85,000","$40,000"
432. Josh Anderson,CBJ,25,"May 7, 1994",Canada,RW,Right,,,✔,26,1,3,4,0.15,-8,63,0.02,16:03,-,-,-,-,-,Standard (1-way),,"Oct 2, 2017",23,,,,3,RFA,RFA,2020,"$1,850,000",2.50%,"$1,850,000","$2,100,000","$2,100,000","$2,100,000",$0,$0
433. Tanner Kaspick,STL,21,"Jan 28, 1998",Canada,C,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 2, 2017",19,,,,3,ELC,RFA,2021,"$738,889",1.00%,"$822,222","$785,000","$700,000","$70,000","$85,000","$92,500"
434. Ty Lewis,COL,21,"May 3, 1998",Canada,LW,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 2, 2017",19,,,,3,ELC,RFA,2021,"$716,666",1.00%,"$716,666","$750,000","$700,000","$65,000","$50,000",$0
435. Alex Formenton,OTT,19,"Sep 13, 1999",Canada,LW,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 2, 2017",17,,,,3,ELC,RFA,2022,"$747,500",1.00%,"$888,333","$792,500","$700,000","$70,000","$92,500","$182,500"
436. Drake Batherson,OTT,21,"Apr 27, 1998",United States,"C, RW",Right,,✓,,6,1,1,2,0.33,-4,6,0.17,15:02,-,-,-,-,-,Entry-Level,,"Oct 3, 2017",19,,,,3,ELC,RFA,2021,"$736,666",1.00%,"$773,333","$780,000","$700,000","$70,000","$80,000","$20,000"
437. Kaden Fulcher,DET,20,"Sep 23, 1998",Canada,G,Left,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Oct 3, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$65,000","$50,000",$0
438. Kyle Keyser,BOS,20,"Mar 8, 1999",United States,G,Left,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0,0,Entry-Level,,"Oct 3, 2017",18,,,,3,ELC,RFA,2022,"$733,333",1.00%,"$733,333","$750,000","$700,000","$70,000","$50,000",$0
439. Jack Eichel,BUF,22,"Oct 28, 1996",United States,C,Right,,,,44,27,31,58,1.32,9,153,0.18,21:57,-,-,-,-,-,Standard (1-way),✔,"Oct 3, 2017",21,,,,8,RFA,UFA,2026,"$10,000,000",13.30%,"$10,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
440. Josh Manson,ANA,27,"Oct 7, 1991",Canada,D,Right,,,,26,0,3,3,0.12,-5,33,0,20:02,-,-,-,-,-,Standard (1-way),✔,"Oct 4, 2017",26,✔,,M-NTC,4,RFA,UFA,2022,"$4,100,000",5.50%,"$4,100,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
441. Nikolaj Ehlers,WPG,23,"Feb 14, 1996",Denmark,"RW, LW",Left,,,,45,18,19,37,0.82,6,129,0.14,16:48,-,-,-,-,-,Standard (1-way),✔,"Oct 4, 2017",22,,,,7,RFA,UFA,2025,"$6,000,000",8.00%,"$6,000,000","$6,500,000","$6,500,000","$6,500,000",$0,$0
442. Mark Borowiecki,OTT,29,"Jul 12, 1989",Canada,D,Left,,,,43,5,11,16,0.37,4,51,0.1,18:18,-,-,-,-,-,Standard (1-way),✔,"Oct 5, 2017",28,,,,2,UFA,UFA,2020,"$1,200,000",1.60%,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
443. Michael Matheson,FLA,25,"Feb 27, 1994",Canada,D,Left,,,,38,4,6,10,0.26,-1,74,0.05,19:28,-,-,-,-,-,Standard (1-way),✔,"Oct 7, 2017",24,✔,,,8,RFA,UFA,2026,"$4,875,000",6.50%,"$4,875,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
444. Jonah Gadjovich,VAN,20,"Oct 12, 1998",Canada,LW,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 16, 2017",18,,,,3,ELC,RFA,2022,"$783,333",1.10%,"$863,333","$792,500","$700,000","$70,000","$92,500","$132,500"
445. Derek Forbort,LAK,27,"Mar 4, 1992",United States,D,Left,,,,3,0,0,0,0,-1,1,0,14:14,-,-,-,-,-,Standard (1-way),✔,"Oct 19, 2017",26,✔,,,2,RFA,UFA,2020,"$2,525,000",3.40%,"$2,525,000","$2,800,000","$2,800,000","$2,800,000",$0,$0
446. Cliff Pu,FLA,21,"Jun 3, 1998",Canada,RW,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Oct 23, 2017",19,,,,3,ELC,RFA,2021,"$745,000",1.00%,"$910,833","$792,500","$700,000","$70,000","$92,500","$182,500"
447. Maxime Fortier,CBJ,21,"Dec 15, 1997",Canada,"RW, C",Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Nov 3, 2017",19,,,,3,ELC,RFA,2020,"$759,166",1.00%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
448. Kyle Turris,NSH,29,"Aug 14, 1989",Canada,C,Right,,,,36,5,12,17,0.47,-5,52,0.1,14:17,-,-,-,-,-,Standard (1-way),✔,"Nov 5, 2017",28,,,,6,UFA,UFA,2024,"$6,000,000",8.00%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
449. Glenn Gawdin,CGY,22,"Mar 25, 1997",Canada,"C, RW",Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Nov 16, 2017",20,,,,3,ELC,RFA,2020,"$775,833",1.00%,"$925,000","$842,500","$750,000","$70,000","$92,500","$82,500"
450. Jonathan Ang,FLA,21,"Jan 31, 1998",Canada,C,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Nov 16, 2017",19,,,,3,ELC,RFA,2021,"$745,000",1.00%,"$910,833","$792,500","$700,000","$62,500","$92,500","$182,500"
451. Cam Atkinson,CBJ,30,"Jun 5, 1989",United States,"RW, LW",Right,,,,35,9,12,21,0.6,-5,113,0.08,17:59,-,-,-,-,-,Standard (1-way),✔,"Nov 16, 2017",29,,,NTC,7,UFA,UFA,2025,"$5,875,000",7.80%,"$5,875,000","$7,375,000","$7,375,000","$7,375,000",$0,$0
452. Jack Campbell,LAK,27,"Jan 9, 1992",United States,G,Left,,,,17,-,-,-,-,-,-,-,-,7,8,0,2.76,0.904,Standard (1-way),✔,"Nov 22, 2017",26,✔,,,2,RFA,UFA,2020,"$675,000",0.90%,"$675,000","$700,000","$700,000","$700,000",$0,$0
453. Austin Strand,LAK,22,"Feb 17, 1997",Canada,D,Right,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Nov 27, 2017",20,,,,3,ELC,RFA,2020,"$759,166",1.00%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
454. Brayden McNabb,VGK,28,"Jan 21, 1991",Canada,D,Left,,,,48,2,5,7,0.15,-4,44,0.05,19:59,-,-,-,-,-,Standard (1-way),✔,"Nov 29, 2017",27,,,,4,UFA,UFA,2022,"$2,500,000",3.30%,"$2,500,000","$2,500,000","$2,500,000","$2,500,000",$0,$0
455. Pierre-Olivier Joseph,PIT,19,"Jul 1, 1999",Canada,D,Left,,✓,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Entry-Level,,"Dec 4, 2017",17,,,,3,ELC,RFA,2022,"$863,333",1.20%,"$1,075,833","$925,000","$832,500","$70,000","$92,500","$212,500"
